"Date", "Gallons per day", "Min. pH / Max. pH"
"9/1/2021", "2,469.61", "6.01 / 11.83"
"9/2/2021", "2,167.10", "6.00 / 11.95"
"9/3/2021", "2,435.73", "6.00 / 11.31"
"9/4/2021", "20.73", "6.85 / 9.73"
"9/5/2021", "27.84", "6.74 / 8.94"
"9/6/2021", "2,087.83", "6.00 / 10.58"
"9/7/2021", "2,235.88", "6.00 / 11.96"
"9/8/2021", "2,317.47", "6.00 / 11.66"
"9/9/2021", "2,332.15", "6.00 / 11.95"
"9/10/2021", "2,445.90", "6.00 / 10.28"
"9/11/2021", "18.87", "6.89 / 8.17"
"9/12/2021", "26.12", "7.03 / 8.37"
"9/13/2021", "1,858.12", "6.00 / 10.74"
"9/14/2021", "1,821.99", "6.00 / 10.06"
"9/15/2021", "2,281.51", "6.05 / 11.45"
"9/16/2021", "2,671.31", "6.00 / 11.91"
"9/17/2021", "2,473.43", "6.00 / 11.85"
"9/18/2021", "18.96", "6.73 / 8.12"
"9/19/2021", "26.74", "7.27 / 8.15"
"9/20/2021", "1,934.52", "6.00 / 10.57"
"9/21/2021", "2,163.45", "6.00 / 11.93"
"9/22/2021", "2,562.28", "6.00 / 11.97"
"9/23/2021", "2,594.24", "6.00 / 11.96"
"9/24/2021", "2,497.77", "6.00 / 11.94"
"9/25/2021", "27.66", "6.48 / 8.17"
"9/26/2021", "18.05", "6.63 / 8.16"
"9/27/2021", "2,161.12", "6.00 / 11.95"
"9/28/2021", "2,404.91", "6.00 / 11.93"
"9/29/2021", "0.00", "0.00 / 0.00"
"9/30/2021", "2,071.16", "6.00 / 11.69"